,interacted_at;DATA;;;;;;VENDAS TOTAIS;Compras e offers;REWARDS
35780;05/01/2019;20:49:00;1;;;;;;
35912;05/01/2019;20:52:00;1;;;;;;
34720;05/01/2019;21:02:00;1;;;;;;
34263;05/01/2019;21:12:00;1;;;;;;
34388;05/01/2019;21:13:00;1;;;;;;
34654;05/01/2019;21:16:00;1;;;;;;
35586;05/01/2019;21:20:00;1;;;;;;
35915;05/01/2019;21:25:00;1;;;;;;
35594;05/01/2019;21:51:00;1;;;;;;
35657;05/01/2019;22:11:00;1;;;;;;
35796;05/01/2019;22:13:00;1;;;;;;
35599;05/01/2019;22:15:00;1;;;;;;
35601;05/01/2019;22:25:00;1;;;;;;
35463;05/01/2019;22:26:00;1;;;;;;
34835;05/01/2019;22:30:00;1;;;;;;
35800;05/01/2019;22:31:00;1;;;;;;
35922;05/01/2019;22:35:00;1;;;;;;
35803;05/01/2019;22:47:00;1;;;;;;
52272;05/01/2019;23:00:00;1;;;;;;
35685;05/01/2019;23:00:00;1;;;;;;
35617;05/01/2019;23:02:00;1;;;;;;
35465;05/01/2019;23:04:00;1;;;;;;
35447;05/01/2019;23:07:00;1;;;;;;
35809;05/01/2019;23:15:00;1;;;;;;
35624;05/01/2019;23:22:00;1;;;;;;
35811;05/01/2019;23:25:00;1;;;;;;
35686;05/01/2019;23:28:00;1;;;;;;
35628;05/01/2019;23:38:00;1;;;;;;
34845;05/01/2019;23:47:00;1;;;;;;
34665;05/01/2019;23:50:00;1;;;;;;
59296;06/01/2019;00:14:00;1;;;;;;
59428;06/01/2019;00:14:00;1;;;;;;
59065;06/01/2019;00:18:00;1;;;;;;
59283;06/01/2019;00:24:00;1;;;;;;
59066;06/01/2019;00:33:00;1;;;;;;
59114;06/01/2019;00:37:00;1;;;;;;
59299;06/01/2019;00:39:00;1;;;;;;
59131;06/01/2019;00:39:00;1;;;;;;
59284;06/01/2019;00:41:00;1;;;;;;
59293;06/01/2019;00:41:00;1;;;;;;
59301;06/01/2019;00:48:00;1;;;;;;
59285;06/01/2019;00:49:00;1;;;;;;
59067;06/01/2019;00:50:00;1;;;;;;
59303;06/01/2019;01:09:00;1;;;;;;
59450;06/01/2019;14:06:00;1;;;;;;
59451;06/01/2019;14:15:00;1;;;;;;
58212;06/01/2019;14:31:00;1;;;;;;
58377;06/01/2019;14:31:00;1;;;;;;
59116;06/01/2019;14:44:00;1;;;;;;
59141;06/01/2019;14:48:00;1;;;;;;
59453;06/01/2019;14:49:00;1;;;;;;
59117;06/01/2019;14:53:00;1;;;;;;
58931;06/01/2019;15:12:00;1;;;;;;
59308;06/01/2019;15:13:00;1;;;;;;
58240;06/01/2019;15:19:00;1;;;;;;
59148;06/01/2019;15:20:00;1;;;;;;
58382;06/01/2019;15:21:00;1;;;;;;
59310;06/01/2019;15:23:00;1;;;;;;
59311;06/01/2019;15:25:00;1;;;;;;
59455;06/01/2019;15:30:00;1;;;;;;
59312;06/01/2019;15:31:00;1;;;;;;
58386;06/01/2019;15:35:00;1;;;;;;
59155;06/01/2019;15:36:00;1;;;;;;
59315;06/01/2019;15:38:00;1;;;;;;
59286;06/01/2019;15:38:00;1;;;;;;
59459;06/01/2019;15:42:00;1;;;;;;
58250;06/01/2019;15:42:00;1;;;;;;
59316;06/01/2019;15:43:00;1;;;;;;
58624;06/01/2019;15:47:00;1;;;;;;
58513;06/01/2019;15:48:00;1;;;;;;
59460;06/01/2019;15:52:00;1;;;;;;
58630;06/01/2019;15:57:00;1;;;;;;
59461;06/01/2019;15:58:00;1;;;;;;
59326;06/01/2019;16:08:00;1;;;;;;
59076;06/01/2019;16:12:00;1;;;;;;
58399;06/01/2019;16:13:00;1;;;;;;
58401;06/01/2019;16:18:00;1;;;;;;
58999;06/01/2019;16:22:00;1;;;;;;
58939;06/01/2019;16:22:00;1;;;;;;
59335;06/01/2019;16:26:00;1;;;;;;
58642;06/01/2019;16:29:00;1;;;;;;
58942;06/01/2019;16:36:00;1;;;;;;
59176;06/01/2019;16:38:00;1;;;;;;
59342;06/01/2019;16:44:00;1;;;;;;
58407;06/01/2019;16:45:00;1;;;;;;
58696;06/01/2019;16:46:00;1;;;;;;
59122;06/01/2019;16:46:00;1;;;;;;
59178;06/01/2019;16:49:00;1;;;;;;
58278;06/01/2019;16:53:00;1;;;;;;
59181;06/01/2019;16:58:00;1;;;;;;
58410;06/01/2019;16:59:00;1;;;;;;
58411;06/01/2019;17:01:00;1;;;;;;
59086;06/01/2019;17:02:00;1;;;;;;
59008;06/01/2019;17:04:00;1;;;;;;
58216;06/01/2019;17:13:00;1;;;;;;
58414;06/01/2019;17:16:00;1;;;;;;
58710;06/01/2019;17:18:00;1;;;;;;
59123;06/01/2019;17:21:00;1;;;;;;
59186;06/01/2019;17:22:00;1;;;;;;
59187;06/01/2019;17:24:00;1;;;;;;
58416;06/01/2019;17:24:00;1;;;;;;
59357;06/01/2019;17:27:00;1;;;;;;
58424;06/01/2019;17:29:00;1;;;;;;
59358;06/01/2019;17:32:00;1;;;;;;
59361;06/01/2019;17:39:00;1;;;;;;
59294;06/01/2019;17:40:00;1;;;;;;
59020;06/01/2019;17:43:00;1;;;;;;
58429;06/01/2019;17:48:00;1;;;;;;
59191;06/01/2019;17:49:00;1;;;;;;
59193;06/01/2019;17:51:00;1;;;;;;
58430;06/01/2019;17:52:00;1;;;;;;
59195;06/01/2019;17:53:00;1;;;;;;
59125;06/01/2019;18:11:00;1;;;;;;
59368;06/01/2019;18:12:00;1;;;;;;
58436;06/01/2019;18:24:00;1;;;;;;
59371;06/01/2019;18:28:00;1;;;;;;
59482;06/01/2019;19:48:00;1;;;;;;
59378;06/01/2019;19:58:00;1;;;;;;
58311;06/01/2019;20:01:00;1;;;;;;
59220;06/01/2019;20:12:00;1;;;;;;
59101;06/01/2019;20:16:00;1;;;;;;
59126;06/01/2019;20:25:00;1;;;;;;
58441;06/01/2019;20:36:00;1;;;;;;
59222;06/01/2019;20:42:00;1;;;;;;
58545;06/01/2019;20:46:00;1;;;;;;
59483;06/01/2019;20:56:00;1;;;;;;
